FECHA_ADMINISTRACION,GRUPO_ETARIO,GENERO,VACUNA,TIPO_EFECTOR,DOSIS_1,DOSIS_2
18FEB2021,71 a 80,M,Sputnik,Publico,60,0
18FEB2021,71 a 80,M,Sputnik,Publico nacional,1,0
18FEB2021,81 a 90,F,Sputnik,Publico,6,0
18FEB2021,81 a 90,M,Sputnik,Privado,3,0
18FEB2021,81 a 90,M,Sputnik,Publico,17,0
19FEB2021,30 o menos,F,Sputnik,Privado,114,4
19FEB2021,30 o menos,F,Sputnik,Publico,292,20
19FEB2021,30 o menos,F,Sputnik,Publico nacional,25,5
19FEB2021,30 o menos,M,Sputnik,Privado,50,0
19FEB2021,30 o menos,M,Sputnik,Publico,104,6
19FEB2021,30 o menos,M,Sputnik,Publico nacional,15,1
19FEB2021,31 a 40,F,Sputnik,Privado,264,8
19FEB2021,31 a 40,F,Sputnik,Publico,554,31
19FEB2021,31 a 40,F,Sputnik,Publico nacional,37,7
19FEB2021,31 a 40,M,Sputnik,Privado,127,3
19FEB2021,31 a 40,M,Sputnik,Publico,197,17
19FEB2021,31 a 40,M,Sputnik,Publico nacional,33,2
19FEB2021,41 a 50,F,Sputnik,Privado,160,2
19FEB2021,41 a 50,F,Sputnik,Publico,602,34
19FEB2021,41 a 50,F,Sputnik,Publico nacional,23,1
19FEB2021,41 a 50,M,Sputnik,Privado,99,4
19FEB2021,41 a 50,M,Sputnik,Publico,209,11
19FEB2021,41 a 50,M,Sputnik,Publico nacional,21,0
19FEB2021,51 a 60,F,Sputnik,Privado,88,4
19FEB2021,51 a 60,F,Sputnik,Publico,511,15
19FEB2021,51 a 60,F,Sputnik,Publico nacional,24,1
19FEB2021,51 a 60,M,Sputnik,Privado,60,1
19FEB2021,51 a 60,M,Sputnik,Publico,184,12
19FEB2021,51 a 60,M,Sputnik,Publico nacional,10,1
19FEB2021,61 a 70,F,Sputnik,Privado,25,0
19FEB2021,61 a 70,F,Sputnik,Publico,273,0
19FEB2021,61 a 70,F,Sputnik,Publico nacional,13,0
21JAN2021,30 o menos,M,Sputnik,Publico nacional,1,0
21JAN2021,31 a 40,F,Sputnik,Privado,1,0
21JAN2021,31 a 40,F,Sputnik,Publico,7,38
21JAN2021,31 a 40,F,Sputnik,Publico nacional,5,0
21JAN2021,31 a 40,M,Sputnik,Publico,0,36
21JAN2021,31 a 40,M,Sputnik,Publico nacional,8,0
21JAN2021,41 a 50,F,Sputnik,Publico,9,44
21JAN2021,41 a 50,F,Sputnik,Publico nacional,9,0
21JAN2021,41 a 50,M,Sputnik,Publico,2,29
21JAN2021,41 a 50,M,Sputnik,Publico nacional,3,0
21JAN2021,51 a 60,F,Sputnik,Privado,1,0
21JAN2021,51 a 60,F,Sputnik,Publico,8,27
21JAN2021,51 a 60,F,Sputnik,Publico nacional,5,0
21JAN2021,51 a 60,M,Sputnik,Publico,4,17
21JAN2021,51 a 60,M,Sputnik,Publico nacional,1,0
21JAN2021,61 a 70,F,Sputnik,Publico nacional,1,0
21JAN2021,61 a 70,M,Sputnik,Publico,3,1
21JAN2021,61 a 70,M,Sputnik,Publico nacional,1,0
22JAN2021,30 o menos,F,Sputnik,Publico,2,8
22JAN2021,30 o menos,M,Sputnik,Publico,0,6
22JAN2021,31 a 40,F,Sputnik,Publico,0,14
22JAN2021,31 a 40,M,Sputnik,Publico,0,13
22JAN2021,41 a 50,F,Sputnik,Publico,3,14
22JAN2021,41 a 50,M,Sputnik,Publico,0,12
22JAN2021,51 a 60,F,Sputnik,Publico,0,7
22JAN2021,51 a 60,M,Sputnik,Publico,0,2
22JAN2021,61 a 70,F,Sputnik,Publico,0,1
23JAN2021,30 o menos,F,Sputnik,Publico,1,22
23JAN2021,30 o menos,M,Sputnik,Publico,0,10
23JAN2021,31 a 40,F,Sputnik,Publico,3,78
23JAN2021,31 a 40,M,Sputnik,Publico,0,45
23JAN2021,41 a 50,F,Sputnik,Publico,1,57
23JAN2021,41 a 50,M,Sputnik,Publico,0,39
23JAN2021,51 a 60,F,Sputnik,Publico,0,42
23JAN2021,51 a 60,M,Sputnik,Publico,0,24
23JAN2021,61 a 70,M,Sputnik,Publico,0,1
23JAN2021,81 a 90,F,Sputnik,Publico,1,0
24JAN2021,30 o menos,F,Sputnik,Publico,0,10
24JAN2021,30 o menos,M,Sputnik,Publico,0,5
24JAN2021,31 a 40,F,Sputnik,Publico,0,37
24JAN2021,31 a 40,M,Sputnik,Publico,0,20
24JAN2021,41 a 50,F,Sputnik,Publico,0,24
24JAN2021,41 a 50,M,Sputnik,Publico,0,11
24JAN2021,51 a 60,F,Sputnik,Publico,0,16
